Periodo,Total,"Agricultura, ganadería, silvicultura, pesca y caza",Total Secundario,Industria extractiva y de la electricidad,Industria manufacturera,Construcción,Total terciario,Comercio,Restaurantes y servicios de alojamiento,"Transportes, comunicaciones correo y almacenamiento",Servicios profesionales financieros y corporativos,Servicios sociales,Servicios diversos,Gobiernos y organismos internacionales,No específicado
2017I,51859895,6537130,13234733,397240,8534828,4302665,31824914,9728631,3870568,2651783,3650004,4228677,5462908,2232343,263118
2017II,52198611,6696462,13330431,408022,8674818,4247591,31869432,9640320,3984017,2635119,3650708,4238259,5521543,2199466,302286
2017III,52438646,6954738,13418141,416136,8803438,4198567,31724164,9602025,3897828,2679458,3736593,4217580,5415114,2175566,341603
2017IV,52865845,7056744,13524988,409407,8752268,4363313,31969381,9672477,3948343,2708764,3613309,4355484,5446231,2224773,314732
2018I,52876916,6720104,13643766,419171,8850675,4373920,32219301,9734367,3938603,2836523,3740759,4309249,5473062,2186738,293745
2018II,53785257,6717753,13786824,417200,8903071,4466553,32960001,10109798,4018289,2799865,3844426,4425435,5525234,2236954,320679
2018III,54027997,6993371,13798926,416354,8918349,4464223,32880332,10152694,4008740,2801781,3923497,4247132,5461348,2285140,355368
2018IV,54194608,6874691,13864904,398788,9090533,4375583,33170241,10082351,4249632,2832600,3955199,4321009,5449702,2279748,284772
2019I,54152266,6591243,13670847,418051,8978498,4274298,33592162,10442188,4286975,2849489,3888370,4303960,5588772,2232408,298014
2019II,54936719,6731266,13881626,396046,9152454,4333126,34014070,10681741,4417000,2772268,3876992,4306357,5645578,2314134,309757
2019III,55201939,7007028,13889872,394964,9148024,4346884,33986773,10664895,4413137,2776303,3940703,4201119,5629448,2361168,318266
2019IV,55683450,6909819,13788402,390438,9172562,4225402,34670599,10915284,4426705,2919753,3916255,4363848,5727607,2401147,314630
2020I,55352304,6574359,13803972,389374,9097576,4317022,34646072,10783038,4433200,2863668,3927835,4426008,5733732,2478591,327901
