Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020
,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Tercer trimestre,Cuarto trimestre
Nacional,10847815,10773555,10823331,11387508,11389787,11327030,11298923,11453785,11751102,11770305,11611114,12117540,12152581,12011139,12062392,12349311,12631234,12452616,12365237,12576886,12783199,12616504,12733663,12996468,13170610,13021020,13142454,13343763,13362106,13298789,13343856,13402594,13681162,13654580,13620916,13863826,13993040,13871653,13938421,14118927,14408709,13652388,14020339
Aguascalientes,135970,134787,137544,144137,148322,140502,138810,143634,146762,140220,141307,151498,150129,143318,151472,156519,161685,167883,169881,171141,180020,177119,180645,184283,180588,178111,178484,180590,179526,177160,185840,182760,182999,187235,186421,189829,190050,186051,187692,193228,197763,182859,193507
Baja California,418605,390526,389344,412231,434017,430039,423389,415922,423842,420591,412947,444436,462078,470772,473793,498382,511781,500670,509785,524690,556484,525406,550447,532786,556761,557961,585132,586018,564002,566527,574022,570665,585448,598772,573913,606224,600073,601852,606477,606631,591095,568665,619757
Baja California Sur,86600,89426,88662,90790,92426,91134,94806,103350,107486,101339,100314,106881,109632,106275,111700,117862,112312,116352,113717,115262,122413,120718,119979,117451,126057,125152,125383,126233,131011,129020,129583,130030,132173,139362,131945,142394,142966,140689,147237,149596,149075,125338,139014
Campeche,89834,87399,89149,91803,89238,84254,84611,88291,95112,90486,86468,91960,92004,96514,95808,97471,98603,97985,94637,95055,97491,100455,93256,92865,95320,88627,90803,91476,94264,85538,85935,89094,90913,93600,92840,96489,99582,111594,104740,109078,101376,111067,108593
Coahuila de Zaragoza,401687,395486,388236,417489,430454,438575,434126,452645,446642,446840,455558,468556,473280,475335,477261,490497,491115,501638,500833,514296,507297,505697,514439,506885,519227,532991,536268,553539,546144,533637,524705,540650,538526,544237,553291,564350,554215,544213,567107,571286,562956,509948,525717
Colima,79205,81746,77682,75881,78128,74127,77385,78546,86367,80425,80686,79599,84785,84235,84696,86318,89657,85302,86306,87289,90855,85216,82944,87665,93754,90036,93131,95805,101105,96821,99636,107715,113445,110023,109797,106804,108464,103505,101715,106811,117552,101835,105006
Chiapas,227523,205841,227784,243303,252123,254283,255410,243901,250200,245583,233920,239538,229417,227319,249477,227099,242466,228189,222743,210780,220192,234982,228088,237540,252456,229008,223953,212183,234333,226926,221260,209547,240183,233190,239958,241840,243982,261392,276629,304725,289778,304956,290960
