Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020
,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Tercer trimestre,Cuarto trimestre
Nacional,7325100,7248747,7201458,7361181,7518613,7445811,7373197,7702625,7891668,7853013,7764019,8013172,8164089,8088898,8160641,8209223,8386908,8258714,8218801,8273993,8466038,8355302,8436998,8614792,8765840,8698231,8719596,9010998,9049544,8974032,8810200,9151064,9254751,9395403,9280436,9392031,9496762,9588254,9483776,9818367,10221359,9518881,9754463
Aguascalientes,94624,91225,91898,95248,93572,89229,86681,95193,98046,94853,99440,102754,105217,102876,98527,104182,108753,106983,101800,103206,107696,106316,106351,113030,114691,114865,117211,118799,120472,115459,117606,119651,125416,124834,119902,125564,125965,128225,124036,135265,141030,124080,135619
Baja California,282467,272041,273559,292225,283223,289438,283085,286288,300310,286174,289923,315592,321609,330722,339324,340328,351037,344103,346220,363184,357981,350298,336318,345993,356765,358935,380132,390939,383905,384236,398603,395118,396530,406286,399027,422424,431646,413357,414440,421956,423405,420047,422704
Baja California Sur,56189,55247,53696,57173,59320,61333,60785,68115,71189,69318,72090,74368,72692,77147,73960,75940,78903,79481,75932,76248,82039,76451,76445,79779,79944,81283,79448,81212,83921,85561,83024,85089,87792,90636,95655,97348,101794,99858,106284,105994,106203,89566,94561
Campeche,54060,51806,51661,54361,57373,54645,54323,56712,61979,57960,57878,60544,61083,59521,55909,59611,60051,57220,55984,58339,59144,58932,58788,58912,56589,56018,56817,57699,60241,57433,59655,60553,63013,65565,64385,63799,65086,69539,68664,73328,69235,64465,68826
Coahuila de Zaragoza,225363,203476,200615,219664,229237,234139,238146,235578,247781,246505,249729,260411,265079,267668,282959,273033,275769,282721,297917,303116,301686,304044,298449,299017,296203,283385,280262,306218,295605,302695,293793,298105,315810,318417,310321,348683,330954,346181,336245,346207,350416,315542,333164
Colima,56900,56340,51375,53000,55868,51288,51205,54435,60119,59503,55609,56613,62044,61770,60355,61198,63070,60965,58972,61225,64740,63576,63531,64859,68632,65116,65423,68729,72102,67747,67747,72240,75297,78276,76052,74740,80128,74745,73136,71759,78401,63268,70358
Chiapas,151719,154109,152477,159474,150950,145859,142125,154813,163270,152680,161845,159335,156135,150407,149674,135144,140885,141210,147601,139683,163353,151635,159121,164280,170545,155188,149286,157532,155681,146310,139009,135270,146013,146533,151499,156471,170449,183539,191885,195104,189406,175360,176397
