,Año,total,total_hombre,total_mujer,total_conflictos_laborales,hombre_conflictos_laborales,mujer_conflictos_laborales,total_sin_respuesta_exigencias,hombre_sin_respuesta_exigencias,mujer_sin_respuesta_exigencias,total_condiciones_riesgosas,hombre_condiciones_riesgosas,mujer_condiciones_riesgosas,total_acoso,hombre_acoso,mujer_acoso,total_pension,hombre_pension,mujer_pension,total_aumento_superacion,hombre_aumento_superacion,mujer_aumento_superacion,total_independizarse,hombre_independizarse,mujer_independizarse,total_retomar_estudios,hombre_retomar_estudios,mujer_retomar_estudios,total_embarazo_familia,hombre_embarazo_familia,mujer_embarazo_familia,total_un_familiar,hombre_un_familiar,mujer_un_familiar,total_otros,hombre_otros,mujer_otros,total_indefinido,hombre_indefinido,mujer_indefinido
0,2010,609539,312245,297294,60345,37552,22793,7983,5341,2642,84688,43149,41539,19963,12099,7864,31970,15422,16548,97694,64166,33528,4939,4307,632,89438,57751,31687,79980,3037,76943,13863,1759,12104,115393,64577,50816,3283,3085,198
1,2011,628531,320328,308203,51236,31967,19269,11637,10196,1441,83530,43930,39600,16715,6793,9922,21563,14326,7237,116769,70676,46093,6829,4028,2801,102019,66228,35791,85394,2453,82941,10183,444,9739,119750,67820,51930,2906,1467,1439
2,2012,667781,348849,318932,73136,44104,29032,7815,6806,1009,112270,67957,44313,15255,7800,7455,28985,18396,10589,102550,69277,33273,3664,2170,1494,89804,52209,37595,110877,14020,96857,10267,2716,7551,106743,57586,49157,6415,5808,607
3,2013,675433,327429,348004,55211,31462,23749,14621,9962,4659,101530,53847,47683,21490,6546,14944,33678,19756,13922,105191,66720,38471,7178,3023,4155,115180,73547,41633,98037,6956,91081,9352,1036,8316,109407,50895,58512,4558,3679,879
4,2014,712369,362377,349992,55510,35646,19864,8005,4725,3280,114992,67601,47391,18448,9910,8538,32582,19784,12798,123273,83729,39544,10054,7986,2068,113106,62705,50401,109339,5527,103812,8917,1965,6952,112450,58945,53505,5693,3854,1839
5,2015,689670,358607,331063,58151,36564,21587,7101,5172,1929,110311,64299,46012,20208,9515,10693,32096,19594,12502,114711,79734,34977,7254,5459,1795,113049,72285,40764,104975,5451,99524,10111,2330,7781,107967,55226,52741,3736,2978,758
6,2016,759732,366366,393366,63273,39857,23416,9733,7219,2514,121385,72889,48496,17185,7836,9349,39445,22626,16819,124949,80198,44751,4412,3317,1095,120360,73048,47312,137942,5999,131943,9225,2327,6898,108016,47935,60081,3807,3115,692
7,2017,779594,392982,386612,57671,33417,24254,8291,4901,3390,114801,56909,57892,18061,10418,7643,32434,17407,15027,132740,88376,44364,7075,5473,1602,157469,99269,58200,117045,10154,106891,9861,2937,6924,119425,60684,58741,4721,3037,1684
8,2018,732517,351361,381156,51624,31387,20237,12956,10233,2723,109867,59715,50152,13808,6658,7150,26651,13300,13351,134923,87338,47585,5798,4547,1251,128716,71826,56890,122257,5262,116995,12250,2082,10168,105699,54588,51111,7968,4425,3543
9,2019,783962,403193,380769,58977,34111,24866,16932,16340,592,123428,72801,50627,23542,13410,10132,35622,21721,13901,124129,74610,49519,6308,5420,888,141645,87709,53936,131919,13064,118855,8777,3219,5558,105272,57393,47879,7411,3395,4016
10,2020,835086,441392,393694,71738,43605,28133,18942,11412,7530,161840,100972,60868,23686,12755,10931,34315,22758,11557,131873,86442,45431,8891,6602,2289,137342,81639,55703,109303,9663,99640,11249,2001,9248,113892,57077,56815,12015,6466,5549
